,Produto,Categoria,Valor,Descricao,Marca,Termo
1209,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_RBLURN_YLO_GRY In the Box 4 T Shirt,Candy House,Clothing: Confecções
1210,Prime Printed 4 Seater Table Cover,Home Furnishing,"R$:1000,00",Key Features of Prime Printed 4 Seater Table Cover Length 60 inch/152 cm Width 40 inch/101 cm;Prime Printed 4 Seater Table Cover (Multicolor; PVC) Price: Rs. 499 Prime Center Table Cover Printed 4 Seater;Specifications of Prime Printed 4 Seater Table Cover (Multicolor; PVC) In The Box Number of Contents in Sales Package Pack of 1 General Brand Prime Type Table Cover Model Name 280P Material PVC Model ID 280 Color Multicolor Dimensions Weight 250 g Length 60 inch / 152 cm Width 40 inch / 101 cm Seating Capacity 4 Seater,Prime,Home Furnishing: Mobiliário doméstico
1211,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2499,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 3) Price: Rs. 799 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 3) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 3 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO3_RED_WHT_YLO In the Box 3 T Shirt,Candy House,Clothing: Confecções
1212,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2499,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 3) Price: Rs. 799 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 3) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 3 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO3_RED_PNK_ORG In the Box 3 T Shirt,Candy House,Clothing: Confecções
1213,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_RBLU_WHT_GRN_GRY In the Box 4 T Shirt,Candy House,Clothing: Confecções
1214,Weldecor Picture Light Wall Lamp,Home Decor & Festive Needs,"R$:7999,00",Key Features of Weldecor Picture Light Wall Lamp HandMade Carved Brass;Weldecor Picture Light Wall Lamp (2) Price: Rs. 2;999 Feel royal and get spoiled with the sparkling gold Weldecor Lighting Downward Double Shade Picture Light/SpotLight. Made of antique finished brass; it is a hand carved masterpiece. It comes with Two B22 holder(Indian two pin holder). It is compatible with every type of CFL or LED; Glass Bulbs. MAKE IN INDIA;Specifications of Weldecor Picture Light Wall Lamp (2) General Mount Type Surface Mounted Bulb Included No Brand Color Brass Brand Weldecor Suitable For Display Light; Mirror Light; Spot Light Bulb Used LED; CFL Model Number WD-DoublePL-1004 Number of Lights 2 Type Picture Light Material Brass Adjustable Yes Color Gold Dimensions Weight 200 g Height 20 cm Width 31 cm In the Box 1 Picture Light,Weldecor,Home Decor & Festive Needs: Decoração e Necessidades Festivas
1215,Foot Furnish Girls; Women Wedges,Footwear,"R$:1355,00",Key Features of Foot Furnish Girls; Women Wedges Occasion: Casual; Formal; Party; Sports; Wedding; Ethnic Material: Fabric Color: Maroon; Beige Heel Height: 3;Specifications of Foot Furnish Girls; Women Wedges General Ideal For Girls Women Occasion Casual; Formal; Party; Sports; Wedding; Ethnic Sandal Details Number of Contents in Sales Package Pack of 1 Weight 210 g (per single Sandal) - Weight of the product may vary depending on size. Type Wedges Heel Height 3 inch Removable Insole No Outer Material Fabric Insole Material Alpin Color Maroon Beige; 02/16 Additional Details Other Details Cushioned Ankle and Tongue; Padded Footbed; Textured Outsole In the Box 2 Sandals,Foot Furnish,Footwear: Calçados
1216,Prime Printed 6 Seater Table Cover,Home Furnishing,"R$:1800,00",Key Features of Prime Printed 6 Seater Table Cover Length 78 inch/198 cm Width 54 inch/137 cm;Prime Printed 6 Seater Table Cover (Multicolor; PVC) Price: Rs. 849 Prime Dining Table Cover Printed 6 Seater;Specifications of Prime Printed 6 Seater Table Cover (Multicolor; PVC) In The Box Number of Contents in Sales Package Pack of 1 General Brand Prime Type Table Cover Model Name P272 Material PVC Model ID 272 Color Multicolor Dimensions Weight 450 g Length 78 inch / 198 cm Width 54 inch / 137 cm Seating Capacity 6 Seater,Prime,Home Furnishing: Mobiliário doméstico
1217,VITAMINS Casual Sleeveless Embellished Baby Girl's Top,Baby Care,"R$:729,00",Key Features of VITAMINS Casual Sleeveless Embellished Baby Girl's Top OFF WHITE;Specifications of VITAMINS Casual Sleeveless Embellished Baby Girl's Top Top Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric Cotton Type Top Neck U Neck General Details Pattern Embellished Occasion Casual Ideal For Baby Girl's In the Box 1 TOP Fabric Care Wash with Similar Colors; Use Detergent for Colors,VITAMINS,Baby Care: Cuidados com o bebê
1218,HSFS Printed Gorgette Women's Kaftan,Clothing,"R$:1200,00",Key Features of HSFS Printed Gorgette Women's Kaftan Occasion: Casual Neck: Round Neck Sleeve: 3/4 Sleeve Suitable For: Western Wear;Specifications of HSFS Printed Gorgette Women's Kaftan General Details Ideal For Women's Occasion Casual Pattern Printed Kaftan Details Fabric Gorgette Sleeve 3/4 Sleeve Neck Round Neck Number of Contents in Sales Package Pack of 1,HSFS,Clothing: Confecções
1219,SKI WINNER GIFT SET PINK02 2 Containers Lunch Box,Kitchen & Dining,"R$:249,00",Specifications of SKI WINNER GIFT SET PINK02 2 Containers Lunch Box (550 ml) General Series LOW Model Name WINNER GIFT SET PINK02 Lunch Box Features Lunch Box Material Plastic Number of Containers 2 Lunch Box Capacity 550 ml In the Box 1LUNCH BOS 550ML; 1 WATER BOTTLE,SKI,Kitchen & Dining: Cozinha e jantar
1220,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_BLK_RED_WHT_ORG In the Box 4 T Shirt,Candy House,Clothing: Confecções
1221,BURDY 4102 16 L Backpack,Toys & School Supplies,"R$:899,00",Specifications of BURDY 4102 16 L Backpack (RED) General Trolley Support No Type Backpack Laptop Sleeve Yes Material Polyester Style Code SB4102 Compatible Laptop Size 16 inch Capacity 16 L Ideal For Boys; Girls Color Code RED Dimensions Weight 490 g Additional Features 2 BOTTLE HOLDER Body Features Pattern MULTICOLOUR Waterproof Yes Number of Compartments 3 In the Box 1 BACKPACK,BURDY,Toys & School Supplies: Brinquedos e material escolar
1222,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_BLK_YLO_GRY_PNK In the Box 4 T Shirt,Candy House,Clothing: Confecções
1223,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_RBLU_RED_WHT_GRY In the Box 4 T Shirt,Candy House,Clothing: Confecções
1224,Candy House Solid Men's Polo Neck T-Shirt,Clothing,"R$:2999,00",Key Features of Candy House Solid Men's Polo Neck T-Shirt Fit: regular fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: POLYCOTTON;Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) Price: Rs. 999 This Polo t-shirt from the house of Rakshita Collection is made to bring out the style in you. This highly comfortable stylish Polo can be worn for just any occasion. A casual day at work or for a weekend full of fun; this Polo has it all. Spruce up your cool and trendy look wearing this Polo T-shirt. Made of cotton rich; this T-shirt for men ensures total comfort and breathability.;Specifications of Candy House Solid Men's Polo Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric POLYCOTTON Type Polo Neck Pockets NO Fit Regular General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Wash with Similar Colors; Use Detergent for Colors Additional Details Style Code POLO4_BLK_RBLU_WHT_GRN In the Box 4 T Shirt,Candy House,Clothing: Confecções
1225,PUSHCART REK-164-W W-B-MSG Massager,Health & Personal Care Appliances,"R$:1299,00","Key Features of PUSHCART REK-164-W W-B-MSG Massager Massager Cum Fat Burner Powerful and quiet motor Variable speed regulator Rubber grip handle;PUSHCART REK-164-W W-B-MSG Massager (WHITE) Price: Rs. 799 ""Product Details of Body Massager Cum Fat Burner Body Massager Cum Fat Burner Key Features Relax your aching muscles and while you relax; target those excess fat pockets with the Complete Body Massager cum Fat Burner. 9 rotating chrome spheres provide a relaxing massage. Get rid of the cellulite by using this massager cum burner along with cellulite cream and oils. It is a handheld device that is easy to use. Relive yourself of stress; stiffness and soreness; remove body toxins; and stimulate your skin with this unique massager cum fat burner. Material- ABS Plastic body Vibrating massager cum fat burner Powerful and quiet motor Variable speed regulator Rubber grip handle Power: 25 W Attachments- Wave Cap; Roller Cap; Sand Cap Mesh Cover Speed- 2200-2500RPM 2 Pin power cord- 1.4 m long Input Voltage- AC 220-240V; 50 Hz Roller Head Diameter- 7.5 cm Dimension- 16 x 15 x 10 cm Weight- 700g Note-It does not work on any battery. Package Contents: Massager Wave Cap Roller Cap Mesh Cover User Manual Specifications of: Body Massager Cum Fat Burner General Features Parcel/Product Weight 700 g Product Weight Type Full Body Application Area Complete Body Package Content Massager Wave Cap Roller Cap Mesh Cover User Manual Power Requirements Power Required (Watts/Volts) 25 W Power Source Input Voltage: AC 220-240V; 50 Hz Expert Review for Body Massager Cum Fat Burner"";Specifications of PUSHCART REK-164-W W-B-MSG Massager (WHITE) In The Box Sales Package MAIN UNIT; ATTACHMENT Product Details Brand PUSHCART Type Body Model Name W-B-MSG Color WHITE Model Id REK-164-W Power Requirements Power Required (Volts) 220-240 VOLT AC Power Source 220-240 VOLTS Power Consumption (Watts) 25 W",PUSHCART,Health & Personal Care Appliances: Aparelhos de saúde e cuidados pessoais
